,year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,emission_intensity
0,1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125,Million bbl/yr,0.3638848308984855,0.3987778968750526
1,1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84325,Bcf/yr,0.1343552120344684,0.0728903903618437
2,1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.825,Million bbl/yr,0.727769661796971,0.3987778968750526
3,1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.3224525088827243,0.07289039036184373
4,1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.300000000000002,Million bbl/yr,2.911078647187884,0.3987778968750525
5,1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.326549999999997,Bcf/yr,1.2629389931240036,0.07289039036184375
6,1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95,Million bbl/yr,4.366617970781825,0.39877789687505255
7,1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.8272308836687716,0.07289039036184375
8,1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.505,Million bbl/yr,5.385495497297585,0.39877789687505255
9,1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,0.07289039036184375
10,1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294375768,0.3987778968750526
11,1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,0.07289039036184375
12,1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696617969709,0.39877789687505255
13,1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.848330495130732,0.07289039036184375
14,1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789873923047,0.3987778968750526
15,1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.4394934280823937,0.07289039036184376
16,1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.261552231337292,0.3987778968750526
17,1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.8229,Bcf/yr,3.923172191406481,0.07289039036184378
18,1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.309999999999995,Million bbl/yr,13.682069641783054,0.3987778968750526
19,1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466396564951,0.07289039036184373
20,1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.137608965376996,0.3987778968750526
21,1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.804145159889039,0.07289039036184375
22,1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.7125,Million bbl/yr,46.94114318590463,0.39877789687505255
23,1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,0.07289039036184375
